Program Name ,City,Country,Region,IIE Open Doors Region*,TD link,,Note:
Grinnell in London,London,United Kingdom,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13282,,
American University - Washington Semester Program,"Washington, D.C.",United States,North America,North America,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=25924,,
Amideast in Jordan - Area and Arabic Language Studies (Semester/Academic Year),Amman,Jordan,MENA,MENA,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13357,,
Amideast in Morocco - Area and Arabic Language Studies (Semester/Academic Year),Rabat,Morocco,MENA,MENA,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13358,,
Amideast in Morocco - Regional Studies in French (Semester/Academic Year),Rabat,Morocco,MENA,MENA,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13360,,
Aquincum Institute of Technology,Budapest,Hungary,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13294,,
"Arcadia Abroad - Goldsmiths, University of London",London,United Kingdom,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=32383,,
Arcadia Abroad - Intern Philly,"Philadelphia, PA",United States,North America,North America,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=44303,,
Arcadia Abroad - Queens University Belfast,Belfast,Ireland,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=16069,,
Arcadia Abroad - University of New South Wales,Sydney,Australia,Oceania,Oceania,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=43040,,
Arcadia Abroad - University of Otago,Dunedin,New Zealand,Oceania,Oceania,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13493,,
Budapest Semesters in Math,Budapest,Hungary,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=14547,,
Carleton Global Engagement: Buddhist Studies in India,Bodh Gaya,India,South Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=35908,,"Additional locations: Chiang Mai, Thailand"
Carleton Global Engagement: Ecology and Anthropology in Tanzania,Arusha,Tanzania,Sub-Saharan Africa,Sub-Saharan Africa,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=45130,,
Carleton Global Engagement: Women's and Gender Studies in Europe,Berlin,Germany,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=28813,,"Additional locations: Olomouc, Czechia; Prague, Czechia; Utrecht, Netherlands"
CET Intensive Chinese Language in Harbin,Harbin,China,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13491,,
CET Prague,Prague,Czech Republic,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13490,,
CET Prague Film Production,Prague,Czech Republic,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=34058,,
CET Taiwan,Taipei,Taiwan,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=41799,,
"CIEE Arts and Sciences Program in Legon, Ghana",Legon,Ghana,Sub-Saharan Africa,Sub-Saharan Africa,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13315,,
"CIEE Arts and Sciences Program in Seoul, Korea",Seoul,South Korea,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=15286,,
"CIEE Arts and Sciences Program in Tokyo, Japan",Tokyo,Japan,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13316,,
"CIEE Liberal Arts Program in Buenos Aires, Argentina",Buenos Aires,Argentina,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13319,,
"CIEE Liberal Arts Program in Santiago, Chile",Santiago,Chile,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13320,,
College Year in Athens - Semester and Academic Year Program,Athens,Greece,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13529,,
Consortium for Advanced Studies Abroad (CASA) Barcelona,Barcelona,Spain,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=39514,,
Consortium for Advanced Studies Abroad (CASA) Granada,Granada,Spain,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=37699,,
Consortium for Advanced Studies Abroad (CASA) Havana,Havana,Cuba,Caribbean,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=39516,,
Consortium for Advanced Studies Abroad (CASA) Melbourne,Melbourne,Australia,Oceania,Oceania,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgram&Program_ID=47183,,
Consortium for Advanced Studies Abroad (CASA) Santiago,Santiago,Chile,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=39518,,
Consortium for Advanced Studies Abroad (CASA) Seville,Seville,Spain,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=39520,,
Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Dublin,Ireland,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=39522,,
Dickinson in France,Toulouse,France,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=23123,,
"DIS - Study Abroad in Copenhagen, Denmark",Copenhagen,Denmark,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13293,,
"DIS - Study Abroad in Stockholm, Sweden",Stockholm,Sweden,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=18025,,
Duke: Intercollegiate Center for Classical Studies in Rome,Rome,Italy,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13525,,
Earlham Border Studies,Tucson,United States,North America,North America,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgram&Program_ID=46764,,
Hamilton in France,Paris,France,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13513,,
Hamilton in Spain,Madrid,Spain,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13517,,
IES Abroad Amsterdam - Psychology & Sciences,Amsterdam,Netherlands,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=37710,,
IES Abroad Amsterdam - Social Sciences & Humanities,Amsterdam,Netherlands,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=39511,,
IES Abroad Berlin - Language & Area Studies,Berlin,Germany,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13365,,
IES Abroad Berlin - Metropolitan & Urban Studies,Berlin,Germany,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13366,,
"IES Abroad Cape Town - Health, Culture & Development",Cape Town,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=44255,,
IES Abroad Cape Town - University of Cape Town,Cape Town,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13292,,
IES Abroad European Union,Freiburg,Germany,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13367,,
IES Abroad Freiburg - Language & Area Studies,Freiburg,Germany,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13368,,
IES Abroad Granada - Study in Granada,Granada,Spain,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13295,,
"IES Abroad London Direct Enrollment – Queen Mary, University of London",London,United Kingdom,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=18061,,
IES Abroad London Direct Enrollment - University College London,London,United Kingdom,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13369,,
IES Abroad Madrid - Language & Area Studies,Madrid,Spain,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13300,,
IES Abroad Milan - Italy Today,Milan,Italy,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=32080,,
"IES Abroad Milan – Music: Voice, Composition & Instrumental",Milan,Italy,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13384,,
IES Abroad Nagoya Direct Enrollment - Nanzan University,Nagoya,Japan,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13371,,
IES Abroad Nantes - Study in Nantes,Nantes,France,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13372,,
IES Abroad Quito - Area Studies & Language,Quito,Ecuador,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=17952,,
IES Abroad Quito Direct Enrollment - Universidad San Francisco de Quito,Quito,Ecuador,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13414,,
IES Abroad Salamanca - Study in Salamanca,Salamanca,Spain,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13374,,
IES Abroad Santiago – Health Studies,Santiago,Chile,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=30791,,
"IES Abroad Santiago – Politics, Social Justice & Language",Santiago,Chile,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=39509,,
IES Abroad Tokyo - Language & Culture,Tokyo,Japan,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13376,,
IES Abroad Vienna - Music,Vienna,Austria,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13377,,
IFSA - IFSA Merida Universities Program,Merida,Mexico,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13510,,
IFSA - IFSA Study in Shanghai: International Business,Shanghai,China,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13489,,
IFSA - IFSA Study in Shanghai: Social Science,Shanghai,China,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13487,,
Institute for Central American Development Studies - Field Program in Environment & Sustainable Development,San Jose,Costa Rica,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13520,,
Institute for Central American Development Studies - Social Justice & Development Internship,San Jose,Costa Rica,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13521,,
ISEP Study in Seoul - Ewha Womans University - ISEP Direct,Seoul,South Korea,East Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=20149,,
Leiden University College,The Hague,Netherlands,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=29498,,
London School of Economics and Political Science,London,United Kingdom,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13506,,
Marine Biological Laboratory - Semester in Environmental Science,"Woods Hole, MA",United States,North America,North America,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13536,,
Middlebury School in Cameroon: Yaoundé,Yaounde,Cameroon,Sub-Saharan Africa,Sub-Saharan Africa,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=41663,,
National Theater Institute,"Waterford, CT",United States,North America,North America,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13535,,
Organization for Tropical Studies (OTS): African Ecology and Conservation Semester in South Africa,Kruger National Park,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13545,,
Sea Education Association: Climate and Society: Aotearoa New Zealand,Auckland,New Zealand,Oceania,Oceania,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgram&Program_ID=46479,"Additional locations: Woods Hole, MA, USA",
Sea Education Association: Coral Reef Conservation: Caribbean,Plymouth,Montserrat,Caribbean,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=25883,"Additional locations: St. Croix, USA Virgin Islands; Woods Hole, MA, USA",
Sea Education Association: Marine Biodiversity & Conservation,"New York, NY",United States,North America,North America,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13538,"Additional locations: Woods Hole, MA, USA",
Sea Education Association: Oceans & Climate,Auckland,New Zealand,Oceania,Oceania,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13540,"Additional locations: Suva, Fiji; Woods Hole, MA, USA",
"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Belgrade,Serbia,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13502,"Additional locations: Bratislava, Slovakia; Budapest, Hunary; Vienna, Austria; ",
"SIT Study Abroad Vietnam: Culture, Social Change, and Development",Ho Chi Minh City,Vietnam,Southeast Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=46147,,
SRAS Bishkek: Central Asian Studies,Bishkek,Kyrgyzstan,Central Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=45302,,
"Syracuse University Abroad - Exploring Central Europe: History, Memory, and Identity Across Borders",Wroclaw,Poland,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13524,,
The School for Field Studies - Bhutan: Himalayan Environment and Society in Transition,Paro,Bhutan,South Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=16040,,
The School for Field Studies - Marine Resource Management Studies,Cockburn Harbor,Turks and Caicos Islands,Caribbean,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13499,,
The School for Field Studies - Rainforest to Reef (Australia),Atherton Tablelands,Australia,Oceania,Oceania,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13500,,
The School for Field Studies Cambodia: Environmental Justice and Mekong Ecologies,Siem Reap,Cambodia,Southeast Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=25467,,
The Swedish Program,Stockholm,Sweden,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=44801,,
Trinity College in Rome,Rome,Italy,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13301,,
University of Minnesota: MSID Ecuador,Quito,Ecuador,Latin America,Latin America and Caribbean,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13527,,
University of Minnesota: MSID Senegal,Dakar,Senegal,Sub-Saharan Africa,Sub-Saharan Africa,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13496,,
University of Minnesota: MSID Thailand,Chiang Mai,Thailand,Asia,Asia,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=43039,,
Wayne State University Munich Program,Munich,Germany,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=13522,,
Wellesley-in-Aix,Aix-en-Provence,France,Europe,Europe,https://travel.global.grinnell.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=25464,,
* Open Doors Region is the regional classification used by one of the organizations we send reports to each year. ,,,,,,,